hour,txn_velocity_per_hour,amount_rank,is_high_value,log_amount,merchant_risk_score,scaled_Amount,scaled_Time,actual_class,fraud_probability,risk_score,risk_band,fraud_label
21,16756,0.5079562651198882,0,3.1780538303479458,0.3098079184139659,-0.2612734105062506,1.388688795340668,0,0.00036176245,0.0,None,Legitimate
0,2990,0.3788074029079341,0,2.553343811341229,0.0864373149647392,-0.3058520715686588,-1.5786464111924434,0,0.0001030122,0.0,None,Legitimate
11,7695,0.7478713655212126,0,4.344714099789901,0.1935246582352076,-0.0490949761939633,-0.1366208521015082,0,0.002009467,0.2,Low,Legitimate
17,16461,0.0549582699863416,0,0.688134638736401,0.0998682098281825,-0.3492712876348249,0.98804073845806,0,0.00014308102,0.0,None,Legitimate
2,16598,0.123978694343889,0,0.9162907318741552,0.0200864022049431,-0.3472322636759166,-1.1807780002421648,0,0.0011891276,0.1,Low,Legitimate
19,17039,0.3069517252033833,0,2.301584592660462,0.2216530591346367,-0.3172865980833213,1.202831560501716,0,0.0005118045,0.1,Low,Legitimate
20,16756,0.6757997521128343,0,3.970291913552122,0.3098079184139659,-0.1453289108820498,1.3541959162713046,0,0.0004161365,0.0,None,Legitimate
3,16856,0.2018875940549214,0,1.5238800240724537,0.4852558275593772,-0.3388762635305862,-1.1193941525698845,0,0.0004415108,0.0,None,Legitimate
5,16570,0.5420618173008388,0,3.364533397290564,0.0990942339314793,-0.2416028264320758,-0.8973172889157278,0,0.0022575508,0.2,Low,Legitimate
5,16570,0.7888306818301516,0,4.566948973167894,0.0990942339314793,0.0275883170057666,-0.89986529768703,0,0.0004600712,0.0,None,Legitimate
6,16453,0.9928934330967988,1,7.109454536202328,0.1590786990501735,4.534351017398448,-0.7370454314084467,0,0.0018790282,0.2,Low,Legitimate
1,4101,0.9368853293633934,0,5.713138569580226,0.0384609699624177,0.85347298208753,-1.519747398520276,0,0.0013118302,0.1,Low,Legitimate
6,16453,0.6899602186744006,0,4.046204186894165,0.1590786990501735,-0.1286169105913892,-0.7521439627226919,0,0.0005619052,0.1,Low,Legitimate
15,15420,0.2265797540088551,0,1.715598108262491,0.4178968939922066,-0.3349981199224665,0.7383358788704446,0,0.00026285838,0.0,None,Legitimate
7,16166,0.1358182909830165,0,1.0260415958332745,0.2671306514997965,-0.3460728186796746,-0.6558460775064526,0,0.001219594,0.1,Low,Legitimate
20,17039,0.1528210331908977,0,1.091923300517313,0.2216530591346367,-0.3453131823028263,1.2473269533427207,0,0.00020686835,0.0,None,Legitimate
4,15365,0.9250211546766758,0,5.579729825986222,0.1140461642323553,0.7022653622327965,-0.971630701758087,0,0.001851996,0.2,Low,Legitimate
0,3492,0.2145593331624573,0,1.6094379124341005,0.3033426572565479,-0.3372370481910717,-1.7620609268787422,0,0.0008248581,0.1,Low,Legitimate
9,16756,0.7273364067596653,0,4.248495242049359,0.3098079184139659,-0.0773614455851046,-0.4159331524531804,0,0.00016143308,0.0,None,Legitimate
18,16461,0.0830334226335729,0,0.6931471805599453,0.0998682098281825,-0.3492313067728856,1.0316095826549545,0,0.001845605,0.2,Low,Legitimate
3,16856,0.8895128982082603,0,5.238832719713145,0.4852558275593772,0.396211864086846,-1.148769956172914,0,0.0010377043,0.1,Low,Legitimate
20,15649,0.7323994845632306,0,4.262679877041316,0.1527022786970405,-0.0733633593911667,1.3078053102946208,0,0.024034308,2.4,Low,Legitimate
11,7695,0.372329331793109,0,2.525728644308256,0.1935246582352076,-0.307251401736537,-0.1458863385426071,0,0.0001791967,0.0,None,Legitimate
7,16166,0.0405204226019725,0,0.636576829071551,0.2671306514997965,-0.3496710962542187,-0.6765039006853573,0,0.0002482753,0.0,None,Legitimate
8,15649,0.4248859754149301,0,2.772588722239781,0.1527022786970405,-0.2932581000577542,-0.4997436888976659,0,0.005067205,0.5,Low,Legitimate
3,15420,0.0405204226019725,0,0.636576829071551,0.4178968939922066,-0.3496710962542187,-1.0724981564236864,0,0.00082392845,0.1,Low,Legitimate
11,7695,0.0830334226335729,0,0.6931471805599453,0.1935246582352076,-0.3492313067728856,-0.1483922314664497,0,0.00010544515,0.0,None,Legitimate
20,17039,0.3823729753833297,0,2.5641798306825083,0.2216530591346367,-0.3052923395015074,1.2426099784272522,0,0.0011929094,0.1,Low,Legitimate
20,16756,0.7262813062881179,0,4.245347435758628,0.3098079184139659,-0.078241024547771,1.353585236483141,0,0.00012131379,0.0,None,Legitimate
0,3492,0.5254804130516455,0,3.258096538021482,0.3033426572565479,-0.2532772381183746,-1.715796668444437,0,0.0012482615,0.1,Low,Legitimate
15,16856,0.0830334226335729,0,0.6931471805599453,0.4852558275593772,-0.3492313067728856,0.6957356991651195,0,0.0043753413,0.4,Low,Legitimate
2,16598,0.123978694343889,0,0.9162907318741552,0.0200864022049431,-0.3472322636759166,-1.21788206185402,0,0.0035296166,0.4,Low,Legitimate
3,16856,0.3468647189149143,0,2.3978952727983707,0.4852558275593772,-0.313248531027444,-1.141610262104792,0,0.00026497248,0.0,None,Legitimate
14,16598,0.0549582699863416,0,0.688134638736401,0.0200864022049431,-0.3492712876348249,0.641343082171123,0,0.00031333312,0.0,None,Legitimate
21,16756,0.2436755416826131,0,1.824549292051046,0.3098079184139659,-0.3324393447583461,1.368915404958414,0,0.00027049385,0.0,None,Legitimate
13,7243,0.6778555302362652,0,3.986759351542163,0.4344263114297182,-0.1418105950313845,0.386015756947659,0,0.0005557892,0.1,Low,Legitimate
22,15441,0.7854301333885754,0,4.547435135336853,0.1531508777822569,0.020151876685042,1.5520772255599553,0,0.001696651,0.2,Low,Legitimate
16,15365,0.6927673828241581,0,4.062165663857866,0.1140461642323553,-0.1249386712929663,0.8351602121799281,0,0.00015588423,0.0,None,Legitimate
9,16756,0.6324317871400633,0,3.7812307151781215,0.3098079184139659,-0.1818314378327034,-0.4318529427928868,0,0.00033938704,0.0,None,Legitimate
10,17703,0.4016895652143381,0,2.6616571615325,0.0783519917195005,-0.29997488486357,-0.3492427080009981,0,0.0008029248,0.1,Low,Legitimate
4,15420,0.708449932761484,0,4.130033404630607,0.4178968939922066,-0.1086264796216994,-1.0642434503216165,0,0.0036629655,0.4,Low,Legitimate
5,16570,0.5540313264772284,0,3.4236109764990554,0.0990942339314793,-0.234566194730745,-0.8998231818395704,0,0.0011106187,0.1,Low,Legitimate
13,10276,0.1301354952652147,0,1.0224509277025458,0.3045463557541723,-0.3461127995416139,0.4775334934772404,0,0.0003516068,0.0,None,Legitimate
20,15649,0.4890030792782481,0,3.050693831627965,0.1527022786970405,-0.2727479178828525,1.2649524355045385,0,0.000111189,0.0,None,Legitimate
16,15420,0.8387855635570755,0,4.867534450455582,0.4178968939922066,0.1625237260511726,0.7959714161188257,0,0.00085208094,0.1,Low,Legitimate
18,16453,0.2046333130857036,0,1.547562508716013,0.1590786990501735,-0.3384364740492531,1.08425439197938,0,0.0005459345,0.1,Low,Legitimate
14,16598,0.4133465820713676,0,2.7568403652716422,0.0200864022049431,-0.2942576216062387,0.6348782995860835,0,0.00025758144,0.0,None,Legitimate
15,16856,0.8625174240801665,0,5.0257865978636,0.4852558275593772,0.2516410673140496,0.690281696919109,0,0.0040627876,0.4,Low,Legitimate
15,16856,0.5556482108936929,0,3.4307561839036995,0.4852558275593772,-0.2336866157680787,0.6738565164098882,0,0.0008973082,0.1,Low,Legitimate
18,16461,0.9750813708932716,1,6.396512901719804,0.0998682098281825,2.040624715653527,1.0168900939678451,0,0.00046186178,0.0,None,Legitimate
1,10276,0.627159795931982,0,3.751619483935122,0.3045463557541723,-0.186948988160944,-1.3228979274943842,0,0.00019081062,0.0,None,Legitimate
8,15649,0.8402093347424747,0,4.875197323201151,0.1527022786970405,0.1665218122451106,-0.5545574643662579,0,0.0005836892,0.1,Low,Legitimate
4,15365,0.6684351157099369,0,3.9318256327243257,0.1140461642323553,-0.1533250832699258,-0.9729362930293328,0,0.00034766633,0.0,None,Legitimate
12,4101,0.8923657073035424,0,5.261549642355822,0.0384609699624177,0.4135235773065974,0.3335394110130716,0,0.0003254588,0.0,None,Legitimate
9,16756,0.7594335813375374,0,4.397161522258152,0.3098079184139659,-0.0325029184891208,-0.407910083512138,0,0.00038404597,0.0,None,Legitimate
16,15365,0.6684351157099369,0,3.9318256327243257,0.1140461642323553,-0.1533250832699258,0.8237889333658522,0,0.00020302489,0.0,None,Legitimate
7,17039,0.4046793091461937,0,2.6905648867611904,0.2216530591346367,-0.298295688662116,-0.6280706761068857,0,0.0015246114,0.2,Low,Legitimate
19,16166,0.0830334226335729,0,0.6931471805599453,0.2671306514997965,-0.3492313067728856,1.1342459029138543,0,0.00084304303,0.1,Low,Legitimate
